,state,County_name,GIDTR,pct_Crowd_Occp_U_ACS_15_19,pct_Renter_Occp_HU_ACS_15_19,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_Civ_emp_16p_ACS_15_19,county,tract,crowding_z,renter_z,unemploy_z,pov_z,hi_index
1700,39,Licking County,39089750700,0.92,60.26,22.65,89.39,089,750700,-0.4433785520816508,1.955806934083441,-1.350397276418401,1.1950729906675746,0.33927602406274093
1701,39,Licking County,39089751000,0.22,45.47,21.29,96.27,089,751000,-0.881863301160193,1.041093454402616,0.30681266993765005,1.0422654440879153,0.37707706681699715
1702,39,Licking County,39089751300,0.0,41.35,21.34,96.62,089,751300,-1.0196727937277348,0.7862848312596142,0.391118408487742,1.0478833685945206,0.30140345365353555
1703,39,Licking County,39089751600,5.58,35.1,13.33,89.92,089,751600,2.475677063212644,0.3997426238218078,-1.2227343008996931,0.14789186263638004,0.4501443121927847
1704,39,Licking County,39089751900,2.76,42.5,21.39,91.74,089,751900,0.709209931210517,0.8574085974281705,-0.7843444604392275,1.0535012931011258,0.45894384032514646
1705,39,Licking County,39089752200,1.76,41.45,17.76,93.95,089,752200,0.08280314681259977,0.7924695065786193,-0.25201393988008675,0.645639973921594,0.3172246718581816
1706,39,Licking County,39089752500,5.5,63.0,35.33,91.53,089,752500,2.4255645204608105,2.1252670378241754,-0.8349279035692798,2.6197786455426337,1.5839205750645848
1707,39,Licking County,39089752800,0.79,25.39,10.21,98.73,089,752800,-0.52481143405338,-0.2007893496535683,0.8993615751754264,-0.20266662657577947,-0.007226458776825373
1708,39,Licking County,39089753100,4.22,37.55,16.03,93.99,089,753100,1.6237638364314761,0.5512671691374277,-0.24237899833150697,0.4512597859930568,0.5959779483076134
1709,39,Licking County,39089753300,1.57,41.76,11.15,96.31,089,753300,-0.03621414222300449,0.8116420000675341,0.3164476114862333,-0.09704964585160324,0.2487064558697899
1710,39,Licking County,39089753600,0.95,23.1,12.31,96.78,089,753600,-0.42458634854971333,-0.3424184144587805,0.42965817468206796,0.03328620270163561,-0.07601509640619757
1711,39,Licking County,39089753900,0.78,12.23,5.94,95.24,089,753900,-0.5310755018973592,-1.0146926216346135,0.05871292506167109,-0.6824373794398569,-0.5423731444775396
1712,39,Licking County,39089754101,1.17,46.69,9.15,97.73,089,754101,-0.2867768559821715,1.1165464932944758,0.6584880364608839,-0.32176662611580814,0.291622761914345
1713,39,Licking County,39089754102,0.0,10.42,3.42,98.4,089,754102,-1.0196727937277348,-1.1266352449086021,0.8198733073996278,-0.9655807745727552,-0.5730038764523661
1714,39,Licking County,39089754400,0.0,10.58,11.45,96.35,089,754400,-1.0196727937277348,-1.1167397643981944,0.32608255303481304,-0.06334209881197263,-0.4684180259757722
1715,39,Licking County,39089754700,0.66,24.97,17.95,90.74,089,754700,-0.6062443160251093,-0.22676498599338898,-1.02521799915377,0.6669880870466932,-0.29780980353139375
1716,39,Licking County,39089755000,0.49,13.9,3.97,97.34,089,755000,-0.7127334693727553,-0.9114085438072316,0.5645473563622123,-0.9037836050000987,-0.4908445654544683
1717,39,Licking County,39089755300,2.65,25.42,7.05,98.72,089,755300,0.6403051849267462,-0.19893394705786677,0.8969528397882798,-0.5577194553932233,0.19515115556598395
1718,39,Licking County,39089755600,0.23,9.51,7.34,96.58,089,755600,-0.8755992333162138,-1.182915790311547,0.3814834669391588,-0.5251354932549136,-0.5505417624858789
1719,39,Licking County,39089755900,2.95,18.25,2.07,97.39,089,755900,0.8282272202461215,-0.6423751674305184,0.5765910332979387,-1.1172647362510935,-0.08870541253438788
1720,39,Licking County,39089756201,0.0,25.08,11.01,96.9,089,756201,-1.0196727937277348,-0.21996184314248363,0.45856299932781414,-0.11277983447009764,-0.22346286800312548
1721,39,Licking County,39089756202,0.86,17.8,5.81,96.75,089,756202,-0.48096295914552584,-0.6702062063660404,0.4224319685206314,-0.6970439831570303,-0.3564452950369913
1722,39,Licking County,39089756500,2.1,29.6,8.09,90.98,089,756500,0.2957814535078917,0.059585481276538156,-0.9674083498622775,-0.4408666256558368,-0.2632270101834211
1723,39,Licking County,39089756800,1.49,20.54,4.76,95.16,089,756800,-0.08632668497483792,-0.5007461026253062,0.0394430419645081,-0.8150203977957379,-0.34066253585784345
1724,39,Licking County,39089757100,1.39,8.68,1.91,97.6,089,757100,-0.1489673634146297,-1.2342485954592877,0.6271744764279911,-1.13524209467223,-0.4728208942795391
1725,39,Licking County,39089757400,2.53,16.81,0.89,99.66,089,757400,0.565136370798996,-0.7314344920241891,1.1233739661799491,-1.2498477546069742,-0.07319297741305453
1726,39,Licking County,39089757700,0.77,16.8,2.02,95.86,089,757700,-0.5373395697413383,-0.7320529595560894,0.2080545190646885,-1.1228826607576987,-0.5460551677476095
1727,39,Licking County,39089758300,3.44,41.82,21.13,95.51,089,758300,1.1351665446011008,0.8153528052589372,0.12374878051460002,1.024288085666779,0.7746390540103543
1728,39,Licking County,39089758600,0.0,8.43,6.33,97.17,089,758600,-1.0196727937277348,-1.2497102837568,0.5235988547807396,-0.638617568288337,-0.596100447748033
1729,39,Licking County,39089758900,1.39,17.84,7.91,94.19,089,758900,-0.1489673634146297,-0.6677323362384385,-0.19420429058859778,-0.4610911538796152,-0.3679987860303203
1730,39,Licking County,39089759000,4.51,63.1,35.22,77.89,089,759000,1.8054218039068721,2.1314517131431807,-4.120442971635639,2.6074192116281023,0.605962439260629
1731,39,Licking County,39089759100,0.41,20.97,8.23,98.49,089,759100,-0.7628460121245887,-0.4741519987535851,0.841551925883934,-0.4251364370373424,-0.20514563050789553
